iter	Passed	Remaining
463	773	893
464	774	891
465	776	889
466	777	887
467	779	885
468	780	883
469	781	881
470	783	880
471	785	878
472	786	876
473	788	874
474	789	872
475	790	870
476	792	868
477	793	867
478	795	865
479	797	863
480	798	861
481	800	859
482	801	858
483	803	856
484	804	854
485	805	852
486	807	850
487	809	848
488	810	847
489	812	845
490	814	844
491	815	842
492	817	840
493	819	839
494	820	837
495	822	835
496	824	834
497	825	832
498	826	829
499	828	828
500	829	826
501	831	824
502	832	822
503	833	820
504	834	818
505	836	816
506	837	814
507	839	812
508	840	810
509	841	808
510	843	807
511	844	805
512	846	803
513	847	801
514	848	799
515	849	797
516	851	795
517	853	794
518	854	792
519	856	790
520	858	789
521	859	787
522	861	785
523	862	783
524	863	781
525	864	779
526	866	777
527	867	775
528	869	774
529	870	772
530	872	770
531	874	769
532	876	767
533	877	766
534	879	764
535	880	762
536	882	761
537	884	759
538	885	757
539	887	755
540	888	753
541	890	752
542	891	750
543	893	748
544	894	746
545	896	745
546	898	744
547	900	742
548	901	740
549	903	739
550	904	737
551	906	735
552	908	733
553	909	732
554	910	730
555	912	728
556	913	726
557	915	724
558	916	723
559	917	721
560	919	719
561	921	717
562	922	716
563	923	714
564	925	712
565	927	710
566	928	709
567	930	707
568	931	705
569	932	703
570	934	701
571	935	699
572	936	698
573	938	696
574	939	694
575	941	692
576	943	691
577	944	689
578	945	687
579	946	685
580	948	683
581	949	682
582	951	680
583	952	678
584	953	676
585	954	674
586	956	672
587	957	670
588	958	669
589	959	667
590	961	665
591	962	663
592	963	661
593	964	659
594	966	657
595	967	655
596	968	653
597	969	652
598	971	650
599	972	648
600	974	646
601	975	644
602	976	643
603	978	641
604	979	639
605	981	638
606	982	636
607	983	634
608	985	632
609	986	630
610	988	629
611	989	627
612	991	625
613	992	624
614	994	622
615	995	620
616	996	618
617	997	616
618	999	614
619	1000	613
620	1001	611
621	1003	609
622	1004	608
623	1006	606
624	1007	604
625	1009	603
626	1010	601
627	1012	599
628	1013	597
629	1015	596
630	1016	594
631	1018	592
632	1019	591
633	1021	589
634	1023	588
635	1024	586
636	1025	584
637	1027	582
638	1028	581
639	1030	579
640	1032	578
641	1033	576
642	1035	574
643	1036	572
644	1038	571
645	1040	569
646	1041	568
647	1042	566
648	1043	564
649	1045	562
650	1046	561
651	1048	559
652	1049	557
653	1050	556
654	1052	554
655	1053	552
656	1055	550
657	1056	549
658	1057	547
659	1058	545
660	1060	543
661	1061	542
662	1063	540
663	1064	538
664	1065	537
665	1067	535
666	1068	533
667	1070	531
668	1071	530
669	1072	528
670	1074	526
671	1075	524
672	1076	523
673	1078	521
674	1079	519
675	1080	517
676	1081	516
677	1083	514
678	1085	513
679	1086	511
680	1088	509
681	1089	507
682	1090	506
683	1092	504
684	1093	502
685	1094	501
686	1096	499
687	1097	497
688	1099	496
689	1100	494
690	1101	492
