iter	Passed	Remaining
468	723	818
469	724	816
470	725	815
471	727	813
472	728	811
473	729	809
474	731	807
475	732	806
476	733	804
477	734	802
478	736	800
479	737	798
480	738	796
481	739	795
482	740	793
483	742	791
484	743	789
485	744	787
486	746	785
487	747	783
488	748	782
489	749	780
490	750	778
491	752	776
492	753	774
493	754	772
494	755	770
495	756	769
496	758	767
497	759	765
498	760	763
499	761	761
500	763	760
501	764	758
502	765	756
503	766	754
504	767	752
505	769	750
506	770	749
507	771	747
508	772	745
509	774	743
510	775	741
511	776	740
512	777	738
513	778	736
514	780	734
515	781	733
516	782	731
517	784	729
518	785	728
519	787	726
520	788	724
521	789	723
522	790	721
523	792	719
524	793	717
525	794	716
526	795	714
527	797	712
528	798	711
529	799	709
530	800	707
531	802	705
532	803	703
533	804	702
534	806	700
535	807	698
536	808	697
537	810	695
538	811	694
539	813	692
540	814	691
541	816	689
542	817	688
543	818	686
544	820	684
545	821	682
546	822	681
547	823	679
548	825	678
549	826	676
550	827	674
551	829	672
552	830	671
553	831	669
554	832	667
555	833	665
556	835	664
557	836	662
558	837	660
559	838	659
560	839	657
561	841	655
562	842	653
563	843	651
564	844	650
565	845	648
566	847	646
567	848	645
568	849	643
569	850	641
570	851	639
571	852	638
572	854	636
573	855	635
574	856	633
575	858	631
576	859	630
577	861	628
578	862	627
579	863	625
580	865	623
581	866	622
582	868	621
583	869	619
584	870	617
585	872	616
586	873	614
587	874	612
588	875	611
589	877	609
590	878	608
591	880	606
592	881	604
593	882	603
594	884	601
595	885	600
596	886	598
597	888	597
598	889	595
599	890	593
600	892	592
601	893	590
602	894	588
603	895	587
604	896	585
605	897	583
606	899	582
607	900	580
608	901	578
609	902	577
610	904	575
611	905	574
612	906	572
613	907	570
614	909	569
615	910	567
616	912	566
617	913	564
618	914	563
619	915	561
620	917	559
621	918	558
622	919	556
623	921	555
624	922	553
625	923	552
626	924	550
627	926	548
628	927	546
629	928	545
630	929	543
631	931	542
632	932	540
633	934	539
634	935	537
635	936	536
636	938	534
637	939	532
638	940	531
639	941	529
640	942	527
641	943	526
642	944	524
643	945	522
644	947	521
645	948	519
646	949	517
647	950	516
648	952	514
649	953	513
650	954	511
651	955	510
652	956	508
653	958	507
654	959	505
655	961	504
656	962	502
657	963	500
658	965	499
659	967	498
660	968	496
661	969	495
662	971	493
663	972	492
664	973	490
665	974	488
666	976	487
667	977	485
668	978	484
669	980	482
670	981	481
671	982	479
672	984	478
673	985	476
674	986	474
675	987	473
676	989	471
677	990	470
678	991	468
679	992	467
680	994	465
681	995	464
682	996	462
683	998	461
684	999	459
685	1000	457
686	1001	456
687	1003	454
688	1004	453
689	1005	451
690	1006	450
691	1008	448
692	1009	447
693	1010	445
694	1012	444
695	1013	442
696	1014	441
697	1016	439
698	1017	438
699	1018	436
700	1019	434
701	1020	433
702	1021	431
703	1023	430
704	1024	428
705	1025	427
706	1026	425
707	1028	424
708	1029	422
709	1031	421
710	1032	419
711	1033	418
712	1035	416
713	1036	415
714	1037	413
715	1039	412
716	1040	410
717	1041	409
718	1043	407
719	1044	406
720	1046	404
721	1047	403
722	1048	401
723	1050	400
724	1051	398
725	1052	397
726	1054	395
727	1055	394
728	1056	392
729	1057	391
730	1059	389
731	1060	388
732	1061	386
733	1063	385
734	1064	383
735	1065	382
736	1067	380
737	1068	379
738	1070	378
739	1071	376
740	1072	375
741	1074	373
742	1075	371
743	1076	370
744	1077	368
745	1079	367
746	1080	365
747	1082	364
748	1083	363
749	1084	361
750	1085	360
751	1087	358
752	1088	357
753	1089	355
754	1090	354
755	1092	352
756	1093	351
757	1094	349
758	1096	348
759	1097	346
760	1099	345
761	1100	343
762	1101	342
763	1102	340
764	1103	339
765	1104	337
766	1106	335
767	1107	334
768	1108	332
769	1109	331
770	1110	329
771	1112	328
772	1113	326
773	1114	325
774	1115	323
775	1116	322
776	1117	320
777	1119	319
778	1120	317
779	1121	316
780	1123	314
781	1124	313
782	1126	312
783	1127	310
784	1128	309
785	1129	307
786	1130	306
787	1132	304
788	1133	303
789	1134	301
790	1135	300
791	1136	298
792	1138	297
793	1139	295
794	1140	294
795	1141	292
796	1142	291
797	1143	289
798	1145	288
799	1146	286
800	1147	285
801	1148	283
802	1149	282
803	1150	280
804	1152	279
805	1153	277
806	1155	276
807	1156	274
808	1157	273
809	1159	271
810	1160	270
811	1161	268
812	1163	267
813	1164	266
814	1165	264
815	1167	263
816	1168	261
817	1169	260
818	1170	258
819	1172	257
820	1173	255
821	1174	254
822	1175	252
823	1177	251
824	1178	249
825	1179	248
826	1180	247
827	1182	245
828	1183	244
829	1184	242
830	1185	241
831	1186	239
832	1188	238
833	1189	236
834	1190	235
835	1191	233
836	1193	232
837	1194	230
838	1196	229
839	1197	228
840	1198	226
841	1200	225
842	1201	223
843	1202	222
844	1204	220
845	1205	219
846	1206	218
847	1208	216
848	1209	215
849	1211	213
850	1212	212
851	1213	210
852	1214	209
853	1216	207
854	1217	206
855	1218	205
856	1219	203
857	1221	202
858	1222	200
859	1223	199
860	1224	197
861	1225	196
862	1227	194
863	1228	193
864	1229	191
865	1230	190
866	1231	188
867	1232	187
868	1234	186
869	1235	184
870	1236	183
871	1237	181
872	1239	180
873	1240	178
874	1242	177
875	1243	176
876	1245	174
877	1246	173
878	1247	171
879	1249	170
880	1250	168
881	1251	167
882	1253	166
883	1254	164
884	1255	163
885	1257	161
886	1258	160
887	1260	158
888	1261	157
889	1262	156
890	1264	154
891	1265	153
892	1267	151
893	1268	150
894	1269	148
895	1271	147
896	1272	146
897	1273	144
898	1274	143
899	1276	141
900	1277	140
901	1278	138
902	1280	137
903	1281	136
904	1282	134
905	1284	133
906	1285	131
907	1286	130
908	1287	128
909	1289	127
910	1290	126
911	1291	124
912	1292	123
913	1294	121
914	1295	120
915	1296	118
916	1298	117
917	1299	116
918	1300	114
919	1301	113
920	1303	111
921	1304	110
922	1305	108
923	1307	107
924	1308	106
925	1310	104
926	1311	103
927	1312	101
928	1313	100
929	1315	98
930	1316	97
931	1317	96
932	1318	94
933	1320	93
934	1321	91
935	1322	90
936	1323	89
937	1325	87
938	1326	86
939	1327	84
940	1329	83
941	1330	81
942	1331	80
943	1332	79
944	1334	77
945	1335	76
946	1337	74
947	1338	73
948	1339	71
949	1340	70
950	1341	69
951	1342	67
952	1344	66
953	1345	64
954	1346	63
955	1347	62
956	1349	60
957	1350	59
958	1351	57
959	1352	56
960	1354	54
961	1355	53
962	1356	52
963	1358	50
964	1359	49
965	1360	47
966	1361	46
967	1363	45
968	1364	43
969	1365	42
970	1366	40
971	1368	39
972	1369	37
973	1370	36
974	1371	35
975	1372	33
976	1374	32
977	1375	30
978	1376	29
979	1378	28
980	1379	26
981	1381	25
982	1382	23
983	1383	22
984	1385	21
985	1386	19
986	1387	18
987	1389	16
988	1390	15
989	1392	14
990	1393	12
991	1394	11
992	1396	9
993	1397	8
994	1398	7
995	1400	5
996	1401	4
997	1402	2
998	1403	1
999	1405	0
